"Date","Province","HA","HSDA","Cases_Reported","Cases_Reported_Smoothed"
2020-03-13,"BC","Northern","Northern Interior",0,0
2020-03-13,"BC","Northern","Northwest",0,0.29
2020-03-13,"BC","Northern","Unknown",0,0
2020-03-13,"BC","Vancouver Coastal","All",14,6
2020-03-13,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",11,4
2020-03-13,"BC","Vancouver Coastal","Richmond",0,0.14
2020-03-13,"BC","Vancouver Coastal","Unknown",0,0
2020-03-13,"BC","Vancouver Coastal","Vancouver",3,1.86
2020-03-13,"BC","Vancouver Island","All",1,0.29
2020-03-13,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-03-13,"BC","Vancouver Island","North Vancouver Island",1,0.14
2020-03-13,"BC","Vancouver Island","South Vancouver Island",0,0.14
2020-03-13,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-03-14,"BC","All","All",28,12.14
2020-03-14,"BC","Fraser","All",6,2.57
2020-03-14,"BC","Fraser","Fraser East",0,0
2020-03-14,"BC","Fraser","Fraser North",1,0.86
2020-03-14,"BC","Fraser","Fraser South",5,1.71
2020-03-14,"BC","Fraser","Unknown",0,0
2020-03-14,"BC","Interior","All",0,0
2020-03-14,"BC","Interior","East Kootenay",0,0
2020-03-14,"BC","Interior","Kootenay Boundary",0,0
2020-03-14,"BC","Interior","Okanagan",0,0
2020-03-14,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-03-14,"BC","Northern","All",1,0.43
2020-03-14,"BC","Northern","Northeast",0,0
2020-03-14,"BC","Northern","Northern Interior",1,0.14
2020-03-14,"BC","Northern","Northwest",0,0.29
2020-03-14,"BC","Northern","Unknown",0,0
2020-03-14,"BC","Vancouver Coastal","All",18,8.43
2020-03-14,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",9,5.29
2020-03-14,"BC","Vancouver Coastal","Richmond",1,0.29
2020-03-14,"BC","Vancouver Coastal","Unknown",0,0
2020-03-14,"BC","Vancouver Coastal","Vancouver",8,2.86
2020-03-14,"BC","Vancouver Island","All",3,0.71
2020-03-14,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-03-14,"BC","Vancouver Island","North Vancouver Island",2,0.43
2020-03-14,"BC","Vancouver Island","South Vancouver Island",1,0.29
2020-03-14,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-03-15,"BC","All","All",29,15.71
2020-03-15,"BC","Fraser","All",10,3.57
2020-03-15,"BC","Fraser","Fraser East",0,0
2020-03-15,"BC","Fraser","Fraser North",6,1.57
2020-03-15,"BC","Fraser","Fraser South",4,2
2020-03-15,"BC","Fraser","Unknown",0,0
2020-03-15,"BC","Interior","All",2,0.29
2020-03-15,"BC","Interior","East Kootenay",0,0
2020-03-15,"BC","Interior","Kootenay Boundary",0,0
2020-03-15,"BC","Interior","Okanagan",2,0.29
2020-03-15,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-03-15,"BC","Northern","All",0,0.29
2020-03-15,"BC","Northern","Northeast",0,0
2020-03-15,"BC","Northern","Northern Interior",0,0.14
2020-03-15,"BC","Northern","Northwest",0,0.14
2020-03-15,"BC","Northern","Unknown",0,0
2020-03-15,"BC","Vancouver Coastal","All",14,10.43
2020-03-15,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",7,6.29
2020-03-15,"BC","Vancouver Coastal","Richmond",3,0.71
2020-03-15,"BC","Vancouver Coastal","Unknown",0,0
2020-03-15,"BC","Vancouver Coastal","Vancouver",4,3.43
2020-03-15,"BC","Vancouver Island","All",3,1.14
2020-03-15,"BC","Vancouver Island","Central Vancouver Island",1,0.14
2020-03-15,"BC","Vancouver Island","North Vancouver Island",1,0.57
2020-03-15,"BC","Vancouver Island","South Vancouver Island",1,0.43
2020-03-15,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-03-16,"BC","All","All",43,21.43
2020-03-16,"BC","Fraser","All",12,5.29
2020-03-16,"BC","Fraser","Fraser East",2,0.29
2020-03-16,"BC","Fraser","Fraser North",3,2
2020-03-16,"BC","Fraser","Fraser South",7,3
2020-03-16,"BC","Fraser","Unknown",0,0
2020-03-16,"BC","Interior","All",0,0.29
2020-03-16,"BC","Interior","East Kootenay",0,0
2020-03-16,"BC","Interior","Kootenay Boundary",0,0
2020-03-16,"BC","Interior","Okanagan",0,0.29
2020-03-16,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-03-16,"BC","Northern","All",0,0.14
2020-03-16,"BC","Northern","Northeast",0,0
2020-03-16,"BC","Northern","Northern Interior",0,0.14
2020-03-16,"BC","Northern","Northwest",0,0
2020-03-16,"BC","Northern","Unknown",0,0
2020-03-16,"BC","Vancouver Coastal","All",26,13.86
2020-03-16,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",15,8.14
2020-03-16,"BC","Vancouver Coastal","Richmond",0,0.71
2020-03-16,"BC","Vancouver Coastal","Unknown",0,0
2020-03-16,"BC","Vancouver Coastal","Vancouver",11,5
2020-03-16,"BC","Vancouver Island","All",5,1.86
2020-03-16,"BC","Vancouver Island","Central Vancouver Island",0,0.14
2020-03-16,"BC","Vancouver Island","North Vancouver Island",1,0.71
2020-03-16,"BC","Vancouver Island","South Vancouver Island",4,1
2020-03-16,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-03-17,"BC","All","All",50,27.14
2020-03-17,"BC","Fraser","All",24,8
2020-03-17,"BC","Fraser","Fraser East",1,0.43
2020-03-17,"BC","Fraser","Fraser North",16,4.14
2020-03-17,"BC","Fraser","Fraser South",7,3.43
2020-03-17,"BC","Fraser","Unknown",0,0
2020-03-17,"BC","Interior","All",0,0.29
2020-03-17,"BC","Interior","East Kootenay",0,0
2020-03-17,"BC","Interior","Kootenay Boundary",0,0
2020-03-17,"BC","Interior","Okanagan",0,0.29
2020-03-17,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-03-17,"BC","Northern","All",0,0.14
2020-03-17,"BC","Northern","Northeast",0,0
2020-03-17,"BC","Northern","Northern Interior",0,0.14
2020-03-17,"BC","Northern","Northwest",0,0
2020-03-17,"BC","Northern","Unknown",0,0
2020-03-17,"BC","Vancouver Coastal","All",24,16.71
2020-03-17,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",14,10
2020-03-17,"BC","Vancouver Coastal","Richmond",1,0.86
2020-03-17,"BC","Vancouver Coastal","Unknown",0,0
2020-03-17,"BC","Vancouver Coastal","Vancouver",9,5.86
2020-03-17,"BC","Vancouver Island","All",2,2
2020-03-17,"BC","Vancouver Island","Central Vancouver Island",0,0.14
2020-03-17,"BC","Vancouver Island","North Vancouver Island",2,1
2020-03-17,"BC","Vancouver Island","South Vancouver Island",0,0.86
2020-03-17,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-03-18,"BC","All","All",48,31.71
2020-03-18,"BC","Fraser","All",13,9.43
2020-03-18,"BC","Fraser","Fraser East",0,0.43
2020-03-18,"BC","Fraser","Fraser North",5,4.43
2020-03-18,"BC","Fraser","Fraser South",8,4.57
2020-03-18,"BC","Fraser","Unknown",0,0
2020-03-18,"BC","Interior","All",1,0.43
2020-03-18,"BC","Interior","East Kootenay",0,0
2020-03-18,"BC","Interior","Kootenay Boundary",0,0
2020-03-18,"BC","Interior","Okanagan",1,0.43
2020-03-18,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-03-18,"BC","Northern","All",0,0.14
2020-03-18,"BC","Northern","Northeast",0,0
2020-03-18,"BC","Northern","Northern Interior",0,0.14
2020-03-18,"BC","Northern","Northwest",0,0
2020-03-18,"BC","Northern","Unknown",0,0
2020-03-18,"BC","Vancouver Coastal","All",27,18.71
2020-03-18,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",8,9.86
2020-03-18,"BC","Vancouver Coastal","Richmond",4,1.43
2020-03-18,"BC","Vancouver Coastal","Unknown",0,0
2020-03-18,"BC","Vancouver Coastal","Vancouver",15,7.43
2020-03-18,"BC","Vancouver Island","All",7,3
2020-03-18,"BC","Vancouver Island","Central Vancouver Island",1,0.29
2020-03-18,"BC","Vancouver Island","North Vancouver Island",3,1.43
2020-03-18,"BC","Vancouver Island","South Vancouver Island",3,1.29
2020-03-18,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-03-19,"BC","All","All",55,38.43
2020-03-19,"BC","Fraser","All",14,11.43
2020-03-19,"BC","Fraser","Fraser East",0,0.43
2020-03-19,"BC","Fraser","Fraser North",9,5.71
2020-03-19,"BC","Fraser","Fraser South",5,5.29
2020-03-19,"BC","Fraser","Unknown",0,0
2020-03-19,"BC","Interior","All",4,1
2020-03-19,"BC","Interior","East Kootenay",1,0.14
2020-03-19,"BC","Interior","Kootenay Boundary",0,0
2020-03-19,"BC","Interior","Okanagan",2,0.71
2020-03-19,"BC","Interior","Thompson Cariboo Shuswap",1,0.14
2020-03-19,"BC","Northern","All",0,0.14
2020-03-19,"BC","Northern","Northeast",0,0
2020-03-19,"BC","Northern","Northern Interior",0,0.14
2020-03-19,"BC","Northern","Northwest",0,0
2020-03-19,"BC","Northern","Unknown",0,0
2020-03-19,"BC","Vancouver Coastal","All",29,21.71
2020-03-19,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",8,10.29
2020-03-19,"BC","Vancouver Coastal","Richmond",2,1.57
2020-03-19,"BC","Vancouver Coastal","Unknown",0,0
2020-03-19,"BC","Vancouver Coastal","Vancouver",19,9.86
2020-03-19,"BC","Vancouver Island","All",8,4.14
2020-03-19,"BC","Vancouver Island","Central Vancouver Island",2,0.57
2020-03-19,"BC","Vancouver Island","North Vancouver Island",2,1.71
2020-03-19,"BC","Vancouver Island","South Vancouver Island",4,1.86
